pk_id_innovation_info;version;date_from;date_to;project_innovation_id;"title";"narrative";"evidence_link";"gender";"youth";"pdf"
117;1;1900-01-01 00:00:00;2199-12-31 23:59:59;172;"Research and policy tools: food safety metrics";"Food safety metrics relevant to low and middle income countries";"http://hdl.handle.net/10568/89032 ";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=172&phaseID=14"
118;1;1900-01-01 00:00:00;2199-12-31 23:59:59;173;"Disease control tool: insurance";"Animal insurance and farmer's behavior in Vietnam";;"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=173&phaseID=14"
119;1;1900-01-01 00:00:00;2199-12-31 23:59:59;174;"Research and policy tool: Health impact assessment";"Assessing potential health impacts of waste recovery and reuse business models in Hanoi, Vietnam";"http://hdl.handle.net/10568/77001  ";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=174&phaseID=14"
120;1;1900-01-01 00:00:00;2199-12-31 23:59:59;175;"Multi-sectoral taskforce on food safety";"A4NH scientists contributed to a range of initiatives which have supported a shift in food safety policy and implementation. One of the most effective initiatives was the National Food Safety Risk Assessment Taskforce. ";"https://asia.ilri.org/2017/08/10/policy-dialogue-to-enhance-inclusive-policies-in-vietnams-smallholder-pig-sector/";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=175&phaseID=14"
121;1;1900-01-01 00:00:00;2199-12-31 23:59:59;176;"Development intervention: Pig diets for human nutrition and gender equity";"Pilots on impact of individual nursery and finisher Ugandan pigs fed a commercial diet, a forage-based diet, or a silage-based diet and men and women farmers’ perceptions of adopting improved diets for pigs in Uganda: decision‑making, income allocation, and intra‑household strategies that mitigate relative disadvantage";"http://hdl.handle.net/10568/82604";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=176&phaseID=14"
122;1;1900-01-01 00:00:00;2199-12-31 23:59:59;177;"Research and policy tool: Risk assessment for food transmitted disease";"Assessing the potential role of pigs in the epidemiology of Ebola virus in Uganda";"http://hdl.handle.net/10568/68299";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=177&phaseID=14"
123;1;1900-01-01 00:00:00;2199-12-31 23:59:59;178;"Research and policy tools: Research tool conceptual framework";"Where food safety meets nutrition outcomes in livestock and fish value chains: a conceptual approach";"http://hdl.handle.net/10568/83357";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=178&phaseID=14"
124;1;1900-01-01 00:00:00;2199-12-31 23:59:59;179;"Development intervention: guidance for program planning";"Harnessing the potential of livestock to improve nutrition of vulnerable populations: Technical guidance for program planning";"http://hdl.handle.net/10568/81027 ";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=179&phaseID=14"
125;1;1900-01-01 00:00:00;2199-12-31 23:59:59;180;"AMUSE tool ";"Piloting a tool for assessing KAP in antimicrobial use";;"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=180&phaseID=14"
126;1;1900-01-01 00:00:00;2199-12-31 23:59:59;182;"Surveillance tool for improving disease control: Predictive mapping";"Collection of tools for predictive mapping on climatic sensitive diseases including: dengue in Vietnam";"http://hdl.handle.net/10568/91030";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=182&phaseID=14"
127;1;1900-01-01 00:00:00;2199-12-31 23:59:59;183;"Research tool: models for Rift Valley Fever";"Spatial, seasonal and climatic predictive models of Rift Valley fever disease across Africa";"http://hdl.handle.net/10568/81469";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=183&phaseID=14"
128;1;1900-01-01 00:00:00;2199-12-31 23:59:59;184;"Risk Mapping tools";"Predictive mapping based on routine surveillance data: Lessons from dengue risk mapping in Vietnam";"http://hdl.handle.net/10568/89946 ";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=184&phaseID=14"
129;1;1900-01-01 00:00:00;2199-12-31 23:59:59;185;"Research and policy tool: One Health Economics";"One Health economics to confront disease threats";"http://hdl.handle.net/10568/89117";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=185&phaseID=14"
130;1;1900-01-01 00:00:00;2199-12-31 23:59:59;186;"Training material for farmer field schools (FFS) ";"Training material for farmer field schools (FFS) on reduced Anopheles development in rice fields, RVF and brucellosis";;"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=186&phaseID=14"
131;1;1900-01-01 00:00:00;2199-12-31 23:59:59;187;"Swahili translation of the Vicious Worm health information tool";"The computer-based health-education tool ‘The Vicious Worm’ was developed to create awareness and provide evidence-based health education as a specific measure in control strategies. To increase the reach of the tool, a new version in Swahili was developed and can now be downloaded for free from http://theviciousworm.sites.ku.dk.";"https://www.sciencedirect.com/science/article/pii/S1471492217301356";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=187&phaseID=14"
132;1;1900-01-01 00:00:00;2199-12-31 23:59:59;207;"Hand-Held Decision Support System for Potato Late Blight Management (HH-DSS)";"Hand-Held Decision Support System for Potato Late Blight Management (HH-DSS)";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=207&phaseID=256"
133;1;1900-01-01 00:00:00;2199-12-31 23:59:59;6;;;;;;"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=6&phaseID=12"
134;1;1900-01-01 00:00:00;2199-12-31 23:59:59;188;"BrAPI - Application programming interface (API) for breeding RTB community";"BrAPI - Application programming interface (API) for breeding RTB community";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=188&phaseID=256"
135;1;1900-01-01 00:00:00;2199-12-31 23:59:59;189;"Breeder-ready markers for leaf blight and virus resistance in potato";"Breeder-ready markers for leaf blight and virus resistance in potato";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=189&phaseID=256"
136;1;1900-01-01 00:00:00;2199-12-31 23:59:59;190;"Positive selection to improve on-farm seed potato management";"Positive selection to improve on-farm seed potato management";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=190&phaseID=256"
137;1;1900-01-01 00:00:00;2199-12-31 23:59:59;191;"Varieties for mid altitude, humid subtropical agro-ecologies in SSA, focusing on heat tolerance, late blight and virus resistance  Climate smart mid altitude potato";"Varieties for mid altitude, humid subtropical agro-ecologies in SSA, focusing on heat tolerance, late blight and virus resistance

Climate smart mid altitude potato
";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=191&phaseID=256"
138;1;1900-01-01 00:00:00;2199-12-31 23:59:59;192;"Triple S – Storing Sweetpotato Roots in Sand and Sprouting";"Triple S – Storing Sweetpotato Roots in Sand and Sprouting";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=192&phaseID=256"
139;1;1900-01-01 00:00:00;2199-12-31 23:59:59;193;"Use of low cost Net Tunnels for Management of Sweetpotato Viruses among Famer-multipliers";"Use of low cost Net Tunnels for Management of Sweetpotato Viruses among Famer-multipliers";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=193&phaseID=256"
140;1;1900-01-01 00:00:00;2199-12-31 23:59:59;194;"Apical cuttings for seed potato systems";"Apical cuttings for seed potato systems";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=194&phaseID=256"
141;1;1900-01-01 00:00:00;2199-12-31 23:59:59;195;"Addressing vitamin A deficiency through vitamin A-rich banana cultivars in East African farming and food systems";"Addressing vitamin A deficiency through vitamin A-rich banana cultivars in East African farming and food systems";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=195&phaseID=256"
142;1;1900-01-01 00:00:00;2199-12-31 23:59:59;196;"NARITA hybrids for East Africa";"NARITA hybrids for East Africa";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=196&phaseID=256"
143;1;1900-01-01 00:00:00;2199-12-31 23:59:59;197;"Multi-stakeholder framework for intervening in RTB seed systems";"Multi-stakeholder framework for intervening in RTB seed systems";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=197&phaseID=256"
144;1;1900-01-01 00:00:00;2199-12-31 23:59:59;198;"Impact network analysis (INA) validated as a tool to understand and describe RTB seed systems";"Impact network analysis (INA) validated as a tool to understand and describe RTB seed systems";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=198&phaseID=256"
145;1;1900-01-01 00:00:00;2199-12-31 23:59:59;199;"Integrated seed health approach";"Integrated seed health approach";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=199&phaseID=256"
146;1;1900-01-01 00:00:00;2199-12-31 23:59:59;200;"Seed Tracker ";"Seed Tracker ";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=200&phaseID=256"
147;1;1900-01-01 00:00:00;2199-12-31 23:59:59;201;"NABIO (matooke) hybrids";"NABIO (matooke) hybrids";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=201&phaseID=256"
148;1;1900-01-01 00:00:00;2199-12-31 23:59:59;202;"Decentralized seed multiplier approach to seed potato production";"Decentralized seed multiplier approach to seed potato production";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=202&phaseID=256"
149;1;1900-01-01 00:00:00;2199-12-31 23:59:59;203;"Varieties for humid tropical and sub-tropical highlands, focusing on late blight resistance";"Varieties for humid tropical and sub-tropical highlands, focusing on late blight resistance";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=203&phaseID=256"
150;1;1900-01-01 00:00:00;2199-12-31 23:59:59;204;"Varieties for mid-altitude, semi-humid subtropical agro-ecologies in SSA, focusing on heat, drought and virus tolerance";"Varieties for mid-altitude, semi-humid subtropical agro-ecologies in SSA, focusing on heat, drought and virus tolerance";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=204&phaseID=256"
151;1;1900-01-01 00:00:00;2199-12-31 23:59:59;205;"Scaling out dual CBSD and CMD resistant varieties for the mid-altitude agro-ecologies of East and Central Africa";"Scaling out dual CBSD and CMD resistant varieties for the mid-altitude agro-ecologies of East and Central Africa";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=205&phaseID=256"
152;1;1900-01-01 00:00:00;2199-12-31 23:59:59;206;"Out-scaling Single Diseased Stem Removal (SDSR) for quick and effective banana recovery in XW affected regions";"Out-scaling Single Diseased Stem Removal (SDSR) for quick and effective banana recovery in XW affected regions";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=206&phaseID=256"
153;1;1900-01-01 00:00:00;2199-12-31 23:59:59;208;"AdiosMacho-Po® and AdiosMacho-St®: innovative biorational products to control potato pests";"AdiosMacho-Po® and AdiosMacho-St®: innovative biorational products to control potato pests";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=208&phaseID=256"
154;1;1900-01-01 00:00:00;2199-12-31 23:59:59;209;"Recovering Banana Production from Bunchy Top Disease";"Recovering Banana Production from Bunchy Top Disease";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=209&phaseID=256"
155;1;1900-01-01 00:00:00;2199-12-31 23:59:59;210;"Community action to manage cassava brown streak disease";"Community action to manage cassava brown streak disease";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=210&phaseID=256"
156;1;1900-01-01 00:00:00;2199-12-31 23:59:59;211;"Developing decision support tools to scale agronomic technologies for cassava";"Developing decision support tools to scale agronomic technologies for cassava";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=211&phaseID=256"
157;1;1900-01-01 00:00:00;2199-12-31 23:59:59;212;"Insect Life Cycle Modeling software (ILCYM) ";"Insect Life Cycle Modeling software (ILCYM) ";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=212&phaseID=256"
158;1;1900-01-01 00:00:00;2199-12-31 23:59:59;213;"BBTV CDS surveillance and reporting mobile app";"BBTV CDS surveillance and reporting mobile app";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=213&phaseID=256"
159;1;1900-01-01 00:00:00;2199-12-31 23:59:59;214;"BBTV tolerant Musa varieties and hybrids  ";"BBTV tolerant Musa varieties and hybrids  ";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=214&phaseID=256"
160;1;1900-01-01 00:00:00;2199-12-31 23:59:59;215;"Crop disease Surveillance platform";"Crop disease Surveillance platform";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=215&phaseID=256"
161;1;1900-01-01 00:00:00;2199-12-31 23:59:59;216;"Field detection of pathogens";"Field detection of pathogens";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=216&phaseID=256"
162;1;1900-01-01 00:00:00;2199-12-31 23:59:59;217;"Absolute quantification of cassava brown streak viruses using standard curves";"Absolute quantification of cassava brown streak viruses using standard curves";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=217&phaseID=256"
163;1;1900-01-01 00:00:00;2199-12-31 23:59:59;218;"Waxing: A technology for extending the shelf-life of fresh cassava roots in Africa";"Waxing: A technology for extending the shelf-life of fresh cassava roots in Africa";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=218&phaseID=256"
164;1;1900-01-01 00:00:00;2199-12-31 23:59:59;219;"High quality cassava peel for animal feed";"High quality cassava peel for animal feed";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=219&phaseID=256"
165;1;1900-01-01 00:00:00;2199-12-31 23:59:59;220;"Sweetpotato silage-based diet for pig feeding";"Sweetpotato silage-based diet for pig feeding";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=220&phaseID=256"
166;1;1900-01-01 00:00:00;2199-12-31 23:59:59;221;"Orange-fleshed Sweetpotato Purée for Bakery Applications in Kenya";"Orange-fleshed Sweetpotato Purée for Bakery Applications in Kenya";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=221&phaseID=256"
167;1;1900-01-01 00:00:00;2199-12-31 23:59:59;222;"Flash dryer for cassava";"Flash dryer for cassava";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=222&phaseID=256"
168;1;1900-01-01 00:00:00;2199-12-31 23:59:59;223;"Regional Investments, Policies, Legislation and Advocacy Efforts on Food-based Approaches to Combating Micronutrient Deficiency in Sub-Saharan Africa: Focus on Biofortification";"Regional Investments, Policies, Legislation and Advocacy Efforts on Food-based Approaches to Combating Micronutrient Deficiency in Sub-Saharan Africa: Focus on Biofortification";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=223&phaseID=256"
169;1;1900-01-01 00:00:00;2199-12-31 23:59:59;224;"Nutrition and health education model for out-scaling the use of OFSP";"Nutrition and health education model for out-scaling the use of OFSP";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=224&phaseID=256"
170;1;1900-01-01 00:00:00;2199-12-31 23:59:59;225;"Development of cassava-based products and consumer preference of the products to identify the preferred products";"Development of cassava-based products and consumer preference of the products to identify the preferred products";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=225&phaseID=256"
171;1;1900-01-01 00:00:00;2199-12-31 23:59:59;226;"Retention of PVAC in cassava bread";"Retention of PVAC in cassava bread";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=226&phaseID=256"
172;1;1900-01-01 00:00:00;2199-12-31 23:59:59;227;"Cassava genotypes with best physiochemical properties";"Cassava genotypes with best physiochemical properties";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=227&phaseID=256"
173;1;1900-01-01 00:00:00;2199-12-31 23:59:59;228;"Basket of alternative shade and drought tolerant food/feed crop options to sustainably manage banana based systems under rein-fed conditions in Central Africa";"Basket of alternative shade and drought tolerant food/feed crop options to sustainably manage banana based systems under rein-fed conditions in Central Africa";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=228&phaseID=256"
174;1;1900-01-01 00:00:00;2199-12-31 23:59:59;229;"Youth agri-preneurs: a vehicle to make RTB innovations an attractive business for the next generation";"Youth agri-preneurs: a vehicle to make RTB innovations an attractive business for the next generation";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=229&phaseID=256"
175;1;1900-01-01 00:00:00;2199-12-31 23:59:59;230;"Best practice guidelines for integrating gender into seed systems and the RTB seed systems framework are developed and shared with scientists and partners working on seed systems ";"Best practice guidelines for integrating gender into seed systems and the RTB seed systems framework are developed and shared with scientists and partners working on seed systems ";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=230&phaseID=256"
176;1;1900-01-01 00:00:00;2199-12-31 23:59:59;231;"Gender sensitive M&E tool for the Participatory Market Chain Approach";"Gender sensitive M&E tool for the Participatory Market Chain Approach";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=231&phaseID=256"
177;1;1900-01-01 00:00:00;2199-12-31 23:59:59;232;"Guidelines for innovation platforms in agricultural research for development: decision support for research, development and funding agencies on how to design, budget and implement impactful innovation platforms ";"Guidelines for innovation platforms in agricultural research for development: decision support for research, development and funding agencies on how to design, budget and implement impactful innovation platforms ";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=232&phaseID=256"
178;1;1900-01-01 00:00:00;2199-12-31 23:59:59;233;"Social Network Approach for Guiding and Leveraging R4D Investments";"Social Network Approach for Guiding and Leveraging R4D Investments";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=233&phaseID=256"
179;1;1900-01-01 00:00:00;2199-12-31 23:59:59;234;"Rapid Appraisal of Agricultural Innovation Systems (RAAIS) Toolkit";"Rapid Appraisal of Agricultural Innovation Systems (RAAIS) Toolkit";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=234&phaseID=256"
180;1;1900-01-01 00:00:00;2199-12-31 23:59:59;235;"Scaling readiness approach - A science-based approach to develop scaling strategies";"Scaling readiness approach - A science-based approach to develop scaling strategies";;;;"https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=235&phaseID=256"
